GRP,WBEING,HRS,LEAD
2.0,3.3333333333,13.0,2.1818181818
2.0,3.5555555556,11.0,2.6363636364
2.0,3.7222222222,12.0,2.2727272727
2.0,3.1764705882,12.0,2.4545454545
2.0,2.6111111111,12.0,2.0909090909
2.0,2.7222222222,12.0,1.5454545455
2.0,3.1666666667,10.0,2.0909090909
2.0,1.7777777778,15.0,1.9090909091
2.0,4.4444444444,12.0,3.6363636364
2.0,3.1666666667,12.0,2.6363636364
2.0,1.8333333333,12.0,3.1818181818
2.0,1.5,13.0,2.5454545455
2.0,3.8888888889,12.0,3.0909090909
2.0,3.3333333333,14.0,2.2727272727
2.0,2.2222222222,9.0,3.2
2.0,3.5,12.0,3.4545454545
2.0,3.2777777778,13.0,2.9090909091
2.0,2.0,12.0,2.2727272727
2.0,3.6666666667,12.0,3.0
2.0,2.7647058824,11.0,2.5454545455
2.0,2.7222222222,10.0,2.2727272727
2.0,4.0,12.0,2.2727272727
2.0,2.0555555556,12.0,2.4545454545
2.0,3.2777777778,14.0,3.0
2.0,2.0,13.0,1.7272727273
2.0,2.6111111111,18.0,2.4545454545
2.0,2.1666666667,11.0,2.4545454545
2.0,2.9444444444,10.0,1.9090909091
2.0,2.4444444444,12.0,2.0
2.0,3.1111111111,8.0,3.0
2.0,3.5,11.0,3.3333333333
2.0,3.1666666667,10.0,3.6363636364
2.0,2.8888888889,12.0,2.0
2.0,0.7647058824,11.0,2.7
2.0,1.1666666667,11.0,2.3636363636
2.0,2.1666666667,12.0,2.5454545455
2.0,0.6666666667,12.0,2.1818181818
2.0,2.5555555556,14.0,2.6363636364
2.0,2.0,10.0,2.8333333333
2.0,2.7222222222,12.0,1.5454545455
2.0,3.0,12.0,1.8181818182
2.0,1.9444444444,15.0,1.6363636364
2.0,3.6111111111,12.0,3.5
3.0,3.9444444444,11.0,2.1818181818
3.0,3.2777777778,12.0,3.2727272727
3.0,2.7647058824,12.0,2.6363636364
3.0,4.2222222222,11.0,2.0
3.0,3.2777777778,10.0,3.0909090909
3.0,4.1666666667,11.0,3.7272727273
3.0,3.0555555556,8.0,3.3636363636
3.0,3.3333333333,12.0,2.8333333333
3.0,3.8888888889,9.0,4.0909090909
3.0,3.6111111111,7.0,3.6363636364
3.0,2.1111111111,11.0,3.1818181818
3.0,1.4444444444,11.0,1.1818181818
3.0,3.0555555556,11.0,2.9090909091
3.0,2.0555555556,12.0,3.2727272727
3.0,3.3333333333,9.0,3.4545454545
3.0,3.8888888889,11.0,1.9090909091
3.0,3.2777777778,9.0,3.1818181818
3.0,2.6666666667,9.0,3.2727272727
3.0,2.7777777778,12.0,4.3333333333
3.0,2.4444444444,11.0,3.0909090909
3.0,2.6111111111,10.0,3.2727272727
3.0,4.0555555556,13.0,3.1111111111
3.0,3.2777777778,10.0,3.0909090909
3.0,3.1176470588,8.0,3.4545454545
3.0,2.9444444444,8.0,3.0909090909
3.0,3.6111111111,6.0,3.2727272727
3.0,3.4444444444,10.0,2.8181818182
3.0,3.1111111111,12.0,3.0
3.0,3.3333333333,10.0,4.0909090909
3.0,3.2777777778,12.0,3.6363636364
3.0,3.3888888889,11.0,1.8181818182
3.0,1.9444444444,12.0,2.0909090909
3.0,2.9444444444,11.0,3.0
3.0,2.7222222222,9.0,2.7272727273
3.0,1.8888888889,16.0,2.9090909091
3.0,2.7222222222,11.0,3.3636363636
3.0,3.5555555556,11.0,3.7272727273
3.0,1.5555555556,12.0,1.8181818182
3.0,0.9444444444,8.0,2.8181818182
3.0,3.4444444444,11.0,3.4545454545
3.0,1.8333333333,24.0,2.0
3.0,1.3846153846,9.0,1.8181818182
3.0,2.3888888889,9.0,3.2727272727
3.0,2.4444444444,9.0,3.6363636364
3.0,2.3333333333,11.0,3.8181818182
3.0,1.6666666667,12.0,3.1666666667
3.0,1.6666666667,10.0,2.5454545455
3.0,1.5555555556,15.0,1.6363636364
3.0,4.1666666667,10.0,2.5454545455
3.0,3.3529411765,10.0,2.7272727273
3.0,3.2222222222,12.0,2.5
3.0,3.1666666667,12.0,3.7272727273
3.0,3.1111111111,11.0,3.0
3.0,3.5555555556,9.0,2.7272727273
3.0,2.6666666667,13.0,3.0
3.0,2.7777777778,11.0,3.3636363636
3.0,2.0555555556,8.0,2.5454545455
3.0,3.1111111111,12.0,2.8181818182
3.0,2.5555555556,6.0,1.0
3.0,1.3888888889,12.0,3.0
3.0,3.75,8.0,3.6363636364
3.0,2.3888888889,7.0,3.5454545455
3.0,3.0,12.0,3.3636363636
3.0,4.3333333333,10.0,4.1818181818
3.0,2.8888888889,10.0,3.5454545455
3.0,3.5555555556,8.0,3.8181818182
3.0,2.5555555556,8.0,2.2727272727
3.0,3.6666666667,10.0,3.7272727273
3.0,3.2777777778,12.0,3.4545454545
3.0,2.5555555556,12.0,3.6363636364
3.0,2.8888888889,9.0,3.4545454545
3.0,3.2222222222,12.0,3.0
3.0,1.8333333333,12.0,4.5
3.0,2.8333333333,12.0,2.1666666667
3.0,1.3888888889,10.0,3.3333333333
3.0,1.8888888889,10.0,2.2727272727
3.0,1.2777777778,8.0,2.0
3.0,0.9444444444,10.0,1.3636363636
3.0,3.3333333333,11.0,3.3636363636
3.0,2.6111111111,12.0,2.0
3.0,3.4444444444,10.0,3.8181818182
3.0,2.0,11.0,2.0909090909
3.0,1.3333333333,9.0,3.0909090909
3.0,3.4444444444,10.0,2.8181818182
3.0,2.7777777778,8.0,2.5454545455
3.0,3.0555555556,8.0,3.5454545455
3.0,2.0,10.0,2.8181818182
3.0,2.2777777778,9.0,2.3636363636
3.0,1.9444444444,10.0,3.0
3.0,2.2777777778,10.0,2.3636363636
3.0,2.3888888889,11.0,2.0
3.0,2.1111111111,11.0,3.0
3.0,2.7222222222,11.0,1.9090909091
3.0,2.6111111111,9.0,2.0909090909
3.0,2.0555555556,7.0,2.6666666667
3.0,1.9444444444,10.0,2.7272727273
4.0,2.6666666667,18.0,3.1666666667
4.0,3.7222222222,16.0,3.9090909091
4.0,0.0,18.0,1.0
4.0,4.1111111111,11.0,3.6363636364
4.0,3.1111111111,10.0,3.1111111111
4.0,2.3888888889,12.0,3.1666666667
4.0,3.5,12.0,2.4545454545
4.0,2.3888888889,12.0,3.0
4.0,1.8666666667,12.0,2.6
4.0,3.0,11.0,2.3333333333
4.0,2.9444444444,11.0,2.0909090909
4.0,3.0,11.0,2.5
4.0,3.1666666667,13.0,2.6363636364
4.0,2.6666666667,11.0,1.0
4.0,3.6666666667,12.0,3.0909090909
4.0,4.2222222222,11.0,3.5454545455
4.0,4.8333333333,12.0,3.8181818182
4.0,1.8333333333,12.0,2.8181818182
4.0,3.2777777778,12.0,2.8181818182
4.0,3.3333333333,11.0,2.7272727273
4.0,2.6111111111,13.0,3.2
4.0,2.3888888889,12.0,3.2727272727
4.0,2.1666666667,8.0,2.4545454545
4.0,1.9444444444,11.0,1.7272727273
4.0,2.5,12.0,2.3636363636
4.0,2.8333333333,12.0,3.1666666667
4.0,3.1666666667,12.0,2.0
4.0,3.2777777778,12.0,3.3636363636
4.0,3.6666666667,10.0,4.1818181818
4.0,2.7777777778,13.0,1.8333333333
4.0,2.8888888889,14.0,2.4545454545
4.0,4.3333333333,14.0,2.8181818182
4.0,2.7222222222,12.0,3.0
4.0,3.2777777778,12.0,2.8333333333
4.0,3.7222222222,13.0,2.3636363636
4.0,4.3888888889,11.0,3.0
4.0,2.8333333333,12.0,3.1818181818
4.0,3.8333333333,12.0,4.0
4.0,2.5555555556,13.0,1.1818181818
4.0,3.7777777778,12.0,2.3333333333
4.0,2.6111111111,12.0,2.5454545455
4.0,3.8888888889,10.0,2.4545454545
5.0,2.4444444444,12.0,1.0
5.0,3.5555555556,12.0,3.3636363636
5.0,4.0555555556,12.0,2.4545454545
5.0,4.0769230769,10.0,3.0
5.0,3.0,7.0,3.1818181818
5.0,1.0555555556,11.0,2.2727272727
5.0,4.2777777778,5.0,4.6363636364
5.0,2.3333333333,12.0,2.9090909091
5.0,2.9444444444,10.0,2.8333333333
5.0,3.1666666667,10.0,3.0909090909
5.0,4.2222222222,8.0,3.7272727273
5.0,2.7777777778,12.0,3.0
5.0,1.7222222222,10.0,2.9090909091
5.0,3.0555555556,11.0,3.8181818182
5.0,2.5555555556,12.0,3.4545454545
5.0,2.4444444444,12.0,2.5
5.0,3.4444444444,14.0,3.1818181818
5.0,3.3888888889,11.0,3.6363636364
5.0,2.8888888889,12.0,2.5
5.0,3.1111111111,11.0,2.3636363636
5.0,3.0555555556,11.0,1.9090909091
5.0,1.1111111111,11.0,2.2727272727
5.0,2.7777777778,11.0,2.7272727273
5.0,4.2777777778,11.0,2.4545454545
5.0,4.0,11.0,4.0
5.0,2.4444444444,10.0,1.8181818182
5.0,2.7222222222,11.0,3.1818181818
5.0,2.9444444444,11.0,4.1818181818
5.0,1.5,10.0,2.6363636364
5.0,3.0,7.0,2.5454545455
5.0,3.2222222222,12.0,1.8333333333
5.0,1.7222222222,8.0,3.0
5.0,3.3888888889,12.0,3.0
5.0,4.1111111111,8.0,3.7272727273
5.0,3.5,12.0,2.6363636364
5.0,2.4444444444,11.0,1.2727272727
5.0,3.2777777778,13.0,1.7272727273
5.0,3.2777777778,10.0,2.3636363636
5.0,1.2777777778,14.0,2.2727272727
5.0,3.7777777778,10.0,3.6363636364
5.0,2.3888888889,8.0,3.6363636364
5.0,2.1666666667,10.0,2.5
5.0,3.1666666667,13.0,3.1818181818
5.0,4.1111111111,8.0,3.4545454545
5.0,3.6111111111,11.0,3.2727272727
5.0,3.8333333333,9.0,3.5454545455
5.0,2.2222222222,9.0,2.4545454545
5.0,1.9444444444,11.0,3.6363636364
5.0,2.1111111111,12.0,4.0
5.0,0.9444444444,12.0,1.3636363636
5.0,3.8888888889,16.0,3.4
5.0,2.1666666667,12.0,2.3333333333
5.0,2.6111111111,12.0,1.9090909091
5.0,3.5555555556,9.0,3.5
5.0,3.8333333333,14.0,3.6666666667
5.0,1.6111111111,10.0,3.7272727273
5.0,2.1111111111,9.0,2.1666666667
5.0,3.6111111111,11.0,2.8181818182
5.0,3.7222222222,10.0,2.6363636364
5.0,2.8888888889,10.0,3.6363636364
5.0,3.4444444444,9.0,2.8181818182
5.0,3.1111111111,10.0,3.5
5.0,3.5555555556,10.0,4.0
5.0,4.0555555556,9.0,3.8333333333
5.0,4.2777777778,8.0,5.0
5.0,2.7777777778,9.0,4.2727272727
5.0,3.1666666667,9.0,2.6363636364
5.0,4.6666666667,8.0,3.5
5.0,4.4444444444,9.0,3.8181818182
5.0,2.75,8.0,4.4545454545
5.0,2.7777777778,10.0,2.8181818182
5.0,4.0555555556,10.0,3.5454545455
5.0,3.5,8.0,3.9090909091
5.0,3.5,10.0,3.5
5.0,2.5555555556,8.0,3.0
5.0,3.9444444444,9.0,3.1666666667
5.0,2.3888888889,9.0,3.1818181818
5.0,3.7777777778,8.0,4.0
5.0,3.1111111111,8.0,3.0
5.0,3.0555555556,10.0,3.7272727273
5.0,4.0,9.0,3.6363636364
5.0,3.8333333333,12.0,3.6363636364
5.0,3.0555555556,8.0,3.4545454545
5.0,3.7222222222,8.0,3.6363636364
5.0,2.6111111111,9.0,3.7272727273
5.0,3.0555555556,12.0,3.8181818182
5.0,3.2777777778,10.0,2.8181818182
5.0,3.8888888889,10.0,2.6363636364
5.0,1.6666666667,11.0,2.4545454545
5.0,3.6111111111,13.0,4.1818181818
5.0,3.7777777778,12.0,3.6666666667
5.0,3.0555555556,12.0,3.5
5.0,3.3333333333,8.0,3.0
5.0,3.0588235294,10.0,2.8
5.0,3.9444444444,12.0,2.8181818182
5.0,2.3333333333,10.0,2.6363636364
5.0,4.2222222222,8.0,4.8333333333
5.0,4.1666666667,11.0,3.7272727273
5.0,2.6666666667,8.0,3.8333333333
5.0,3.0,9.0,4.0909090909
5.0,2.3529411765,10.0,3.8181818182
5.0,4.7777777778,9.0,4.0
6.0,3.6111111111,10.0,2.6666666667
6.0,3.3333333333,12.0,3.1818181818
6.0,2.2777777778,12.0,1.6666666667
6.0,2.0555555556,12.0,2.1818181818
6.0,1.5,12.0,2.0
6.0,2.4444444444,12.0,2.1666666667
6.0,1.7222222222,10.0,2.4545454545
6.0,3.0,14.0,3.1666666667
6.0,3.0,10.0,2.2727272727
6.0,3.1111111111,9.0,3.4545454545
6.0,2.9444444444,11.0,1.9090909091
6.0,2.8333333333,10.0,3.7272727273
6.0,2.5,10.0,2.6666666667
6.0,2.3888888889,10.0,2.5454545455
6.0,2.0555555556,9.0,4.2222222222
6.0,3.1764705882,10.0,2.8181818182
6.0,3.2222222222,10.0,3.1666666667
6.0,3.1666666667,9.0,3.0909090909
6.0,1.8888888889,12.0,1.0909090909
6.0,1.7777777778,10.0,3.1666666667
6.0,1.2222222222,11.0,3.1818181818
6.0,4.0,9.0,2.8181818182
6.0,1.5555555556,12.0,3.1666666667
6.0,3.1666666667,11.0,4.1666666667
6.0,2.6111111111,11.0,2.0909090909
6.0,4.2777777778,11.0,4.0
6.0,1.8333333333,12.0,3.0
6.0,4.6666666667,11.0,3.4545454545
7.0,2.2352941176,12.0,2.5
7.0,1.5555555556,14.0,2.3636363636
7.0,3.1666666667,12.0,2.1666666667
7.0,3.5555555556,11.0,2.6666666667
7.0,2.3888888889,12.0,3.0
7.0,2.8333333333,12.0,2.8181818182
7.0,2.4444444444,12.0,2.4545454545
7.0,2.6666666667,12.0,2.2727272727
7.0,2.1666666667,8.0,1.0909090909
7.0,3.1666666667,10.0,2.9090909091
7.0,3.8333333333,10.0,3.4545454545
7.0,4.0,12.0,3.7272727273
7.0,3.1666666667,9.0,3.4545454545
7.0,2.3888888889,11.0,2.0909090909
7.0,2.2222222222,10.0,3.8333333333
7.0,3.0,12.0,3.1818181818
7.0,3.1666666667,11.0,2.1818181818
7.0,1.6666666667,13.0,2.6666666667
7.0,2.6666666667,11.0,1.0909090909
7.0,2.2222222222,11.0,2.3333333333
7.0,2.2222222222,12.0,1.5454545455
7.0,2.5555555556,10.0,2.6363636364
7.0,3.5,12.0,2.1666666667
7.0,1.2222222222,15.0,1.4545454545
7.0,2.0555555556,12.0,2.6666666667
7.0,3.3888888889,12.0,3.2727272727
7.0,2.2222222222,9.0,3.0
7.0,4.2777777778,11.0,3.5
7.0,1.7777777778,14.0,1.0
8.0,2.7777777778,10.0,3.0
8.0,2.6153846154,9.0,3.4545454545
8.0,2.0,8.0,2.2727272727
8.0,2.5555555556,9.0,2.9090909091
8.0,2.2777777778,8.0,3.1818181818
8.0,4.1111111111,8.0,3.3636363636
8.0,1.625,8.0,2.3333333333
8.0,4.1111111111,11.0,3.9090909091
8.0,3.0555555556,9.0,2.1818181818
8.0,2.2222222222,10.0,2.8181818182
8.0,2.9444444444,12.0,2.3333333333
8.0,1.2777777778,10.0,2.0
8.0,1.3888888889,12.0,2.9090909091
8.0,3.5,12.0,2.4545454545
8.0,4.4444444444,8.0,3.8181818182
8.0,2.2777777778,10.0,3.1818181818
8.0,2.7222222222,10.0,3.3636363636
8.0,2.7222222222,13.0,3.0
8.0,1.6111111111,13.0,2.5
8.0,2.0555555556,24.0,3.0
8.0,2.5555555556,8.0,3.7272727273
8.0,3.1111111111,11.0,2.2727272727
8.0,3.8333333333,11.0,3.5
8.0,3.9444444444,11.0,2.8333333333
8.0,4.4444444444,10.0,3.6666666667
8.0,1.3888888889,8.0,2.3636363636
8.0,2.9444444444,11.0,4.0
8.0,3.0,14.0,3.5
8.0,3.7777777778,11.0,2.6363636364
8.0,3.6111111111,8.0,2.3636363636
8.0,2.7777777778,11.0,3.1818181818
8.0,2.8125,10.0,2.8333333333
8.0,4.0555555556,8.0,3.8181818182
8.0,4.8333333333,8.0,4.3636363636
9.0,3.5,8.0,3.0909090909
9.0,4.1666666667,11.0,3.4545454545
9.0,3.5555555556,8.0,2.7272727273
9.0,3.6666666667,10.0,2.0
9.0,4.8333333333,11.0,4.0
9.0,3.9444444444,8.0,3.7272727273
9.0,2.4444444444,9.0,3.3636363636
9.0,3.3333333333,8.0,3.0
9.0,4.0555555556,12.0,3.5
9.0,4.9444444444,10.0,5.0
9.0,3.6111111111,11.0,4.0
9.0,2.6666666667,12.0,3.3333333333
9.0,3.6666666667,8.0,3.7272727273
9.0,2.5555555556,10.0,3.3636363636
9.0,3.0555555556,8.0,3.9090909091
9.0,3.1111111111,9.0,3.2
9.0,2.9444444444,10.0,3.1666666667
9.0,1.5555555556,14.0,2.6363636364
9.0,2.5555555556,9.0,3.5454545455
9.0,2.8333333333,12.0,2.5454545455
9.0,3.3333333333,7.0,2.7272727273
9.0,4.4444444444,8.0,3.0909090909
9.0,1.0555555556,10.0,4.0
9.0,2.7777777778,10.0,3.6666666667
9.0,2.0,11.0,2.0
9.0,3.9444444444,10.0,4.0
9.0,1.3846153846,10.0,4.0
9.0,1.3888888889,11.0,2.6363636364
9.0,3.8888888889,10.0,3.7272727273
9.0,2.7222222222,11.0,3.6363636364
9.0,4.6666666667,15.0,2.7272727273
9.0,3.5555555556,7.0,2.4545454545
9.0,2.6111111111,11.0,2.3636363636
9.0,2.4444444444,8.0,2.5454545455
9.0,2.7777777778,8.0,3.7272727273
9.0,2.1111111111,10.0,2.3636363636
9.0,3.3333333333,12.0,2.6363636364
9.0,2.7222222222,9.0,3.1818181818
9.0,3.3333333333,9.0,3.3636363636
10.0,4.0555555556,12.0,3.5
10.0,0.2777777778,16.0,2.4545454545
10.0,4.0,8.0,3.0
10.0,2.3333333333,12.0,3.8181818182
10.0,2.0,16.0,1.0
10.0,2.6111111111,14.0,1.3636363636
10.0,2.9444444444,11.0,2.4545454545
10.0,2.8823529412,13.0,2.3333333333
10.0,2.2777777778,17.0,3.3636363636
10.0,2.25,10.0,3.1666666667
10.0,3.7222222222,12.0,2.5454545455
10.0,0.5,16.0,2.3636363636
10.0,2.2222222222,10.0,3.0
10.0,4.2222222222,11.0,2.3333333333
10.0,2.9444444444,12.0,4.0
10.0,2.3333333333,12.0,3.0
10.0,3.4444444444,14.0,2.8333333333
10.0,2.0555555556,14.0,2.2727272727
10.0,2.3333333333,10.0,3.0
10.0,3.0,13.0,3.3333333333
10.0,3.6666666667,15.0,2.0909090909
10.0,3.7777777778,16.0,1.1666666667
10.0,1.8888888889,12.0,2.2727272727
10.0,2.2222222222,14.0,2.0
10.0,3.8888888889,12.0,3.5
10.0,3.6111111111,12.0,3.3333333333
10.0,2.6666666667,9.0,2.0
10.0,1.2222222222,13.0,2.3636363636
10.0,3.2777777778,12.0,3.3636363636
10.0,3.3333333333,10.0,3.8181818182
10.0,2.6666666667,13.0,3.1666666667
10.0,2.3888888889,15.0,2.3333333333
10.0,3.2777777778,13.0,2.7272727273
10.0,2.6666666667,11.0,2.1818181818
10.0,3.0,10.0,2.8333333333
10.0,1.7777777778,12.0,1.1818181818
10.0,1.4444444444,14.0,1.6363636364
10.0,2.3333333333,12.0,2.8181818182
10.0,1.4444444444,13.0,2.3636363636
10.0,3.5555555556,11.0,2.5
10.0,2.7222222222,10.0,3.8181818182
10.0,3.3888888889,15.0,3.3636363636
10.0,2.5294117647,12.0,2.4545454545
10.0,4.0,12.0,2.3636363636
10.0,1.8333333333,11.0,2.0
10.0,2.1111111111,12.0,2.7272727273
10.0,3.0,12.0,2.2727272727
10.0,2.7222222222,12.0,2.4545454545
10.0,3.3888888889,15.0,2.8181818182
10.0,4.1666666667,12.0,2.3636363636
10.0,3.6666666667,8.0,2.8181818182
10.0,2.7222222222,10.0,2.0
10.0,2.2222222222,14.0,2.5
10.0,2.2777777778,15.0,3.0909090909
10.0,2.1666666667,14.0,2.5454545455
10.0,1.9333333333,13.0,2.1666666667
10.0,2.3888888889,18.0,3.4545454545
10.0,4.1111111111,12.0,3.0909090909
10.0,4.0,5.0,2.8181818182
10.0,3.9444444444,12.0,3.3333333333
10.0,4.1111111111,15.0,4.0
10.0,2.7777777778,12.0,2.9090909091
10.0,1.8888888889,13.0,2.4545454545
10.0,3.0,13.0,1.25
10.0,3.8888888889,11.0,2.8333333333
11.0,4.1111111111,10.0,3.0
11.0,3.7222222222,12.0,3.1666666667
11.0,2.4444444444,10.0,3.1818181818
11.0,3.7222222222,8.0,3.1818181818
11.0,2.2222222222,12.0,3.5
11.0,2.8888888889,13.0,2.6666666667
11.0,2.7777777778,12.0,2.3333333333
11.0,1.6666666667,12.0,2.2727272727
11.0,1.6666666667,11.0,2.5
11.0,2.4444444444,11.0,3.3333333333
11.0,2.0,13.0,1.3333333333
11.0,4.3333333333,13.0,4.1666666667
11.0,2.9444444444,12.0,3.2727272727
11.0,2.3888888889,8.0,3.0
11.0,5.0,12.0,1.9090909091
11.0,3.5555555556,9.0,2.9090909091
11.0,3.6111111111,14.0,3.5
11.0,3.5555555556,11.0,3.1666666667
11.0,3.0555555556,11.0,3.9090909091
11.0,3.1666666667,11.0,2.8181818182
11.0,3.3888888889,12.0,3.6363636364
11.0,2.6111111111,13.0,2.0909090909
11.0,3.3888888889,10.0,3.0
11.0,3.8333333333,10.0,2.1666666667
11.0,1.6666666667,10.0,2.6363636364
11.0,2.1111111111,10.0,3.6363636364
11.0,3.0555555556,13.0,2.3333333333
11.0,3.1111111111,8.0,2.8181818182
11.0,2.0,12.0,1.6363636364
11.0,4.2222222222,10.0,3.8333333333
11.0,2.4444444444,12.0,3.8888888889
11.0,1.6470588235,11.0,2.9090909091
11.0,1.7777777778,11.0,2.0909090909
11.0,3.9444444444,12.0,4.5
11.0,1.6111111111,4.0,3.0909090909
11.0,3.0555555556,10.0,2.3636363636
11.0,2.1111111111,10.0,2.4545454545
11.0,3.3333333333,12.0,2.6666666667
11.0,3.5555555556,10.0,2.0
12.0,3.0555555556,13.0,2.3636363636
12.0,3.1111111111,17.0,1.1818181818
12.0,2.9444444444,10.0,3.2727272727
12.0,1.9444444444,11.0,2.1666666667
12.0,1.2777777778,12.0,2.5454545455
12.0,4.4444444444,12.0,3.5
12.0,3.1111111111,11.0,3.4545454545
12.0,2.3333333333,10.0,2.4545454545
12.0,2.5,14.0,2.0909090909
12.0,0.8333333333,12.0,1.0
12.0,1.5,12.0,2.5454545455
12.0,3.7777777778,8.0,2.3636363636
12.0,1.7058823529,11.0,2.9090909091
12.0,2.1666666667,24.0,2.6666666667
12.0,2.8888888889,12.0,2.4545454545
12.0,3.4444444444,7.0,3.0
12.0,2.8333333333,12.0,2.5454545455
12.0,2.5,8.0,1.0909090909
12.0,3.1666666667,11.0,2.9090909091
12.0,2.3333333333,12.0,1.5454545455
12.0,3.9444444444,12.0,2.9090909091
12.0,1.7777777778,14.0,1.0909090909
12.0,3.6666666667,10.0,2.8181818182
12.0,2.6111111111,15.0,1.4545454545
12.0,2.9444444444,10.0,1.9090909091
12.0,1.9444444444,10.0,3.4545454545
12.0,3.4444444444,12.0,3.1818181818
12.0,2.1111111111,12.0,1.1818181818
12.0,4.0,10.0,3.0909090909
12.0,1.6666666667,10.0,3.0
12.0,3.5555555556,12.0,1.1818181818
12.0,2.2777777778,10.0,2.8181818182
12.0,2.4444444444,13.0,1.8333333333
12.0,2.2777777778,10.0,2.0
12.0,2.6666666667,9.0,3.1818181818
12.0,2.1111111111,12.0,2.0909090909
13.0,4.8333333333,15.0,3.8333333333
13.0,4.8888888889,11.0,4.0
13.0,3.9444444444,10.0,2.9090909091
13.0,3.4444444444,11.0,2.7272727273
13.0,3.0555555556,12.0,2.7272727273
13.0,3.4444444444,11.0,2.5
13.0,2.3333333333,14.0,2.2727272727
13.0,1.7777777778,12.0,1.8181818182
13.0,3.1666666667,12.0,2.5454545455
13.0,3.5,10.0,3.0
13.0,1.5,14.0,2.7272727273
13.0,2.5,24.0,3.0909090909
13.0,2.3333333333,8.0,2.6363636364
13.0,2.7222222222,12.0,2.3
13.0,3.1111111111,12.0,3.0
